epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7001,1.38968,3.953,1.03534,0.00543,0.1,0.05095,0.03057,0.56443,3.72809,0.81863,0,0,0
2,22.9134,1.26601,3.95771,1.01005,0.00538,0.1,0.05093,0.02546,0.54072,3.72425,0.81481,1.41485e-05,1.41485e-05,1.41485e-05
3,31.8583,1.20315,3.90105,0.97778,0.00521,0.1,0.05086,0.00509,0.4903,3.71621,0.80858,2.80141e-05,2.80141e-05,2.80141e-05
4,39.6147,0.96642,3.68493,0.94506,0,0,0,0,0.5013,3.70502,0.80329,4.15968e-05,4.15968e-05,4.15968e-05
5,49.2459,1.13295,3.8183,0.90659,0,0,0,0,0.59943,3.70427,0.80906,5.48965e-05,5.48965e-05,5.48965e-05
6,57.1403,0.77051,3.67304,0.88044,0,0,0,0,0.7781,3.71246,0.82545,6.79132e-05,6.79132e-05,6.79132e-05
7,66.4225,0.71061,3.42787,0.84029,0,0,0,0,0.93226,3.71613,0.84363,8.0647e-05,8.0647e-05,8.0647e-05
8,75.0363,0.79991,3.1883,0.84297,0,0,0,0,0.99385,3.70857,0.85482,9.30979e-05,9.30979e-05,9.30979e-05
9,83.3246,0.83409,3.27244,0.82574,0.01476,0.45,0.01061,0.0081,0.99504,3.69241,0.85732,0.000105266,0.000105266,0.000105266
10,92.817,0.83825,2.96957,0.85041,0.005,0.1,0.05078,0.00508,0.92926,3.66829,0.84985,0.000117151,0.000117151,0.000117151
11,100.742,0.78203,2.6516,0.87099,0.005,0.1,0.09953,0.02986,0.8448,3.63683,0.83709,0.000128753,0.000128753,0.000128753
12,110,0.71409,2.53284,0.87386,0.01,0.2,0.15055,0.07477,0.72254,3.59162,0.82278,0.000140072,0.000140072,0.000140072
13,118.634,0.67395,2.05575,0.84204,0.01526,0.45,0.22092,0.14631,0.59009,3.5562,0.80465,0.000151108,0.000151108,0.000151108
14,126.97,0.80796,2.04622,0.83919,0.02599,0.8,0.30269,0.23945,0.54604,3.4588,0.79425,0.000161861,0.000161861,0.000161861
15,136.267,0.8849,2.06946,0.82736,0.03021,0.9,0.44603,0.28879,0.5271,3.43273,0.79708,0.000172332,0.000172332,0.000172332
16,144.066,0.72854,1.96786,0.86207,0.02952,0.9,0.5236,0.31507,0.55195,3.39046,0.79489,0.000182519,0.000182519,0.000182519
17,153.35,0.72721,1.77627,0.80364,0.03434,1,0.61292,0.34117,0.57788,3.36386,0.79558,0.000192423,0.000192423,0.000192423
18,161.57,0.75835,1.64129,0.84344,0.03434,1,0.61292,0.34117,0.57788,3.36386,0.79558,0.000202045,0.000202045,0.000202045
19,170.321,0.6829,1.69399,0.82194,0.03385,1,0.62638,0.38497,0.65373,3.28912,0.79893,0.000211383,0.000211383,0.000211383
20,179.518,0.66093,1.67376,0.8241,0.03385,1,0.62638,0.38497,0.65373,3.28912,0.79893,0.000220439,0.000220439,0.000220439
21,187.306,0.77679,1.79616,0.85774,0.03385,1,0.64347,0.41117,0.74155,3.22734,0.80431,0.000229212,0.000229212,0.000229212
22,196.454,0.66112,1.46364,0.8066,0.03385,1,0.64347,0.41117,0.74155,3.22734,0.80431,0.000237701,0.000237701,0.000237701
23,204.463,0.63769,1.38173,0.81897,0.03352,1,0.74702,0.50425,0.81656,3.18109,0.80913,0.000245908,0.000245908,0.000245908
24,213.19,0.68582,1.50091,0.86306,0.03352,1,0.74702,0.50425,0.81656,3.18109,0.80913,0.000253832,0.000253832,0.000253832
25,222.515,0.67733,1.48913,0.81233,0.03246,1,0.74702,0.51386,0.83692,3.16052,0.81022,0.000261473,0.000261473,0.000261473
26,230.12,0.58878,1.39163,0.84233,0.03246,1,0.74702,0.51386,0.83692,3.16052,0.81022,0.000268831,0.000268831,0.000268831
27,239.327,0.61592,1.3678,0.83664,0.03224,1,0.77202,0.53708,0.73512,3.17134,0.81755,0.000275906,0.000275906,0.000275906
28,246.897,0.58796,1.30868,0.82331,0.03224,1,0.77202,0.53708,0.73512,3.17134,0.81755,0.000282698,0.000282698,0.000282698
29,255.869,0.59827,1.16251,0.83242,0.03097,1,0.77202,0.54555,0.64594,3.14959,0.81213,0.000289207,0.000289207,0.000289207
30,264.241,0.65687,1.34505,0.85494,0.03097,1,0.77202,0.54555,0.64594,3.14959,0.81213,0.000295433,0.000295433,0.000295433
31,272.189,0.57579,1.2121,0.83353,0.03075,1,0.68911,0.47626,0.60331,3.1079,0.81595,0.000301376,0.000301376,0.000301376
32,281.223,0.6251,1.06661,0.80686,0.03075,1,0.68911,0.47626,0.60331,3.1079,0.81595,0.000307036,0.000307036,0.000307036
33,289.069,0.6438,0.9653,0.8552,0.03054,1,0.68911,0.48304,0.63853,3.06287,0.82206,0.000312414,0.000312414,0.000312414
